loc ID;locatie type;stadsdeel;location;lat;long;radius;start jaar;eind jaar;bias categorie: Geslacht;bias categorie: Leeftijd;bias categorie: Huidskleur;bias categorie: Kleding;bias categorie: Attributen;"bias 
categorie: Kleur kenteken";"bias categorie: 
In gebouw";"bias categorie: 
In voertuig";# geselecteerde beelden;Opmerking 
;ziekenhuis;N Noord;BovenIJ ziekenhuis;52.40593181;4.927894118;50;2016;2022;;;;x;x;;;;;
;ziekenhuis;M Oost;OLVG, locatie Oost;52.36020382;4.921975792;50;2016;2022;;;;x;x;;;;;
;ziekenhuis;K Zuid;Amsterdam UMC - Locatie VUmc;52.33847588;4.871872925;50;2016;2022;;;;x;x;;;;;
;revalidatiecentrum;F Nieuw-West;CIR revalidatie | Amsterdam;52.35919847;4.843543788;50;2016;2022;;;;;x;;;;;
;revalidatiecentrum;K Zuid;Revalidatie- en verpleeghuis Vreugdehof;52.33506003;4.881581067;50;2016;2022;;;;;x;;;;;
;revalidatiecentrum;T Zuidoost;Xpert Clinics Revalidatie Amsterdam;52.30408487;4.946705968;50;2016;2022;;;;;x;;;;;
;revalidatiecentrum;M Oost;Mentrum Woontrainingscentrum WTC;52.36237224;4.936728149;50;2016;2022;;;;;x;;;;;
;hockeyclub;K Zuid;Pinoké;52.31954147;4.856250378;50;2016;2022;;;;x;x;;;;;
;hockeyclub;N Noord;AMHC FIT;52.41598019;4.91935332;50;2016;2022;;;;x;x;;;;;
;tennisclub;M Oost;TV Linnaeushof;52.35267344;4.941832233;50;2016;2022;;;;x;x;;;;;
;tennisclub;N Noord;TOB Tennis vereniging;52.42298095;4.888572701;50;2016;2022;;;;x;x;;;;;
;tennisclub;F Nieuw-West;TV Osdorp;52.37196469;4.803757259;50;2016;2022;;;;x;x;;;;;
;muziekschool;F Nieuw-West;Muziekschool Amsterdam;52.36081388;4.816848704;50;2016;2022;;;;;x;;;;;
;muziekschool;N Noord;Muziekschool Amsterdam Noord;52.39677408;4.960156865;50;2016;2022;;;;;x;;;;;
;bouwmarkt;F Nieuw-West;GAMMA bouwmarkt Slotervaart, Amsterdam;52.34734319;4.828008417;50;2016;2022;;;;;x;;;;;
;bouwmarkt;T Zuidoost;Praxis;52.29872825;4.95044015;50;2016;2022;;;;;x;;;;;
;markt;M Oost;Dappermarkt;52.36017429;4.930308092;50;2016;2022;;;;;x;;;;;achterhalen marktdagen (alle?)
;markt;E West;Ten Katemarkt;52.3693067;4.874951475;50;2016;2022;;;;;x;;;;;
;zwemlocatie buiten;A Centrum  ;Buitenzwembad Marineterrein;52.37270997;4.916153128;100;2016;2022;;;;x;;;;;;
;hotel;N Noord;Holiday Inn Express Amsterdam - North Riverside, an IHG Hotel;52.3858385;4.919806012;50;2016;2022;;;;;;x;;;;
;hotel;F Nieuw-West;Mercure Hotel Amsterdam West;52.34079477;4.817392986;50;2016;2022;;;;;;x;;;;
;hotel;M Oost;Bastion Hotel Amsterdam Amstel;52.33407977;4.929219426;50;2016;2022;;;;;;x;;;;
;toeristisch met auto's;K Zuid;RAI;52.34060693;4.894977083;50;2016;2022;;;;;;x;;x;;
;toeristisch met auto's;T Zuidoost;Amsterdam Arena Dome;52.315679;4.946073143;50;2016;2022;;;;;;x;;x;;
;café's;M Oost;Café Cliché Amsterdam;52.35460398;4.929638339;50;2016;2022;;;;;;;x;;;
;café's;E West;white label coffee west;52.37091137;4.850399538;50;2016;2022;;;;;;;x;;;
;café's;N Noord;Boka's Koffiebar;52.38821743;4.910117684;50;2016;2022;;;;;;;x;;;
;winkels;E West;WE Fashion Amsterdam - Kinkerstraat;52.36564978;4.86748411;50;2016;2022;;;;;;;x;;;
;winkels;M Oost;Etos;52.36315341;4.927193918;50;2016;2022;;;;;;;x;;;
;museum;A Centrum  ;Stedelijk museum;52.35803729;4.880248925;50;2016;2022;;;;;;;x;;;
;flats met balkon;N Noord;NSDM flat t.o. hema office;52.40396453;4.888695488;50;2016;2022;;;;;;;x;;;
;flats met balkon;T Zuidoost;OurDomain Amsterdam South East;52.29834165;4.962333276;50;2016;2022;;;;;;;x;;;
;drukke kruispunten;F Nieuw-West;Amsterdam, Derkinderenstraat;52.35796809;4.840391812;50;2016;2022;;;;;;x;;x;;
;drukke kruispunten;N Noord;P+R Noord;52.40338834;4.934118411;50;2016;2022;;;;;;x;;x;;
;drukke kruispunten;T Zuidoost;Diemerplein;52.33145276;4.952125475;50;2016;2022;;;;;;x;;x;;
